Prop;;;;;
#P_id;dens;E;v;A;Iz;R;K;B;Lp;Lg;a;b;c;
0;7800;200000000000;0.3;0.04;1.333333E-4;235000000;10;1;60;104;310;1.14;0;
Nodes;;;;;
#N_id;x;y;phi;;
0;10;10;;;
1;30;10;;;
2;50;10;;;
3;70;10;;;
4;60;20;;;
5;40;20;;;
6;20;20;;;
Elements;;;;;
#E_id;from;to;prop;;
0;1;0;0;;
1;1;2;0;;
2;2;3;0;;
3;3;4;0;;
4;4;2;0;;
5;2;5;0;;
6;5;1;0;;
7;1;6;0;;
8;0;6;0;;
9;6;5;0;;
10;5;4;0;;
In_Conds_U; ;;;;
#I_U_id;N_id;u_x;u_y;u_r;
0;0;1;1;0;
1;1;0;0;0;
2;2;0;0;0;
3;3;1;1;0;
4;4;0;0;0;
5;5;0;0;0;
6;6;0;0;0;
In_Conds_F;;;;;
#I_F_id;N_id;Fx;Fy;M;
0;1;0;0;0;
1;1;0;-1000;0;
2;2;0;-1000;0;
