Prop;;;;;
#P_id;dens;E;v;A;Iz;
0;7800;200000000000;0.3;0.01;8.333333E-6;
Nodes;;;;;
#N_id;x;y;phi;;
0;10;10;;;
1;30;10;;;
2;50;10;;;
3;70;10;;;
4;70;27;;;
5;50;27;;;
6;30;27;;;
7;10;27;;;
Elements;;;;;
#E_id;from;to;prop;;
0;1;0;0;;
1;1;2;0;;
2;2;3;0;;
3;3;4;0;;
4;5;2;0;;
5;6;1;0;;
6;7;0;0;;
7;7;6;0;;
8;5;6;0;;
9;4;5;0;;
10;2;4;0;;
11;5;1;0;;
12;0;6;0;;
In_Conds_U; ;;;;
#I_U_id;N_id;u_x;u_y;u_r;
0;0;1;1;0;
1;1;0;0;0;
2;2;0;0;0;
3;3;1;1;0;
4;4;0;0;0;
5;5;0;0;0;
6;6;0;0;0;
7;7;0;0;0;
In_Conds_F;;;;;
#I_F_id;N_id;Fx;Fy;M;
0;1;0;0;0;
1;1;0;-1000;0;
2;2;0;-1000;0;
